Rank,Movie,Release Date,Distributor,Genre,2019 Gross,Tickets Sold
157,Don’t Let Go, 2019-08-30,OTL Releasing,Thriller/Suspense,"$5,215,062","569,330"
188,Tod@s Caen, 2019-08-30,Lionsgate,Romantic Comedy,"$2,670,925","291,585"
204,Official Secrets, 2019-08-30,IFC Films,Thriller/Suspense,"$1,996,766","217,987"
257,Bennett’s War, 2019-08-30,ESX Entertainment,Drama,"$725,042","79,153"
266,Raise Hell: The Life and Ti…, 2019-08-30,Magnolia Pictures,Documentary,"$694,410","75,808"
327,Killerman, 2019-08-30,Blue Fox Entertai…,Action,"$291,477","31,820"
375,Before You Know It, 2019-08-30,1091 Media,Comedy,"$151,307","16,518"
502,Ága, 2019-09-04,Big World Pictures,Drama,"$34,131","3,726"
322,K-12, 2019-09-05,Abramorama Films,Musical,"$303,230","33,103"
10,It: Chapter Two, 2019-09-06,Warner Bros.,Horror,"$211,593,228","23,099,697"
168,Linda Ronstadt: The Sound o…, 2019-09-06,Greenwich,Documentary,"$4,244,894","463,416"
203,Chhichhore, 2019-09-06,FIP,Comedy,"$2,004,400","218,820"
436,Ms. Purple, 2019-09-06,Oscilloscope Pict…,Drama,"$80,657","8,805"
453,Edie, 2019-09-06,Music Box Films,Drama,"$70,138","7,656"
562,Balloon, 2019-09-06,Distrib Films,Thriller/Suspense,"$16,792","1,833"
582,Rapid Response, 2019-09-06,Atlas Distribution,Documentary,"$13,262","1,447"
648,I’m Leaving Now, 2019-09-06,Cinema Guild,Documentary,"$4,443",485
559,Chained for Life, 2019-09-11,Kino Lorber,Black Comedy,"$17,370","1,896"
29,Hustlers, 2019-09-13,STX Entertainment,Drama,"$104,962,986","11,458,841"
155,The Goldfinch, 2019-09-13,Warner Bros.,Drama,"$5,332,621","582,164"
305,Monos, 2019-09-13,Neon,Thriller/Suspense,"$406,473","44,374"
320,Out of Liberty, 2019-09-13,Purdie Distribution,Western,"$317,217","34,630"
331,Freaks, 2019-09-13,Well Go USA,Thriller/Suspense,"$276,591","30,195"
367,The Bad Guys: Reign of Chaos, 2019-09-13,CJ Entertainment,Drama,"$166,971","18,228"
